GenerationIndex,GenerationTotalPackets,GenerationRedundancyUsed,MissedPackets,ReceivedPackets,RngResolution,PacketErrorRate,Success,Rank
0,6,3,2,6,8,0.25,True,6
1,6,3,1,6,7,0.14285715,True,6
2,6,3,2,6,8,0.25,True,6
3,6,3,1,6,7,0.14285715,True,6
4,6,3,0,6,6,0,True,6
5,6,3,4,5,9,0.44444445,False,6
6,6,3,3,6,9,0.33333334,True,6
7,6,3,0,6,6,0,True,6
8,6,3,1,2,3,0.33333334,True,2
0,6,3,4,4,8,0.5,False,5
1,6,3,2,6,8,0.25,True,6
2,6,3,1,6,7,0.14285715,True,6
3,6,3,2,6,8,0.25,True,6
3,6,3,2,6,8,0.25,True,6
5,6,3,2,4,6,0.33333334,False,5
6,6,3,2,6,8,0.25,True,6
7,6,3,2,6,8,0.25,True,6
0,6,3,0,6,6,0,True,6
1,6,3,1,6,7,0.14285715,True,6
2,6,3,3,6,9,0.33333334,True,6
3,6,3,4,5,9,0.44444445,False,6
4,6,3,4,5,9,0.44444445,False,6
5,6,3,1,6,7,0.14285715,True,6
6,6,3,1,6,7,0.14285715,True,6
7,6,3,2,6,8,0.25,True,6
8,6,3,2,2,4,0.5,True,2
0,6,3,1,5,6,0.16666667,False,6
1,6,3,0,6,6,0,True,6
2,6,3,3,5,8,0.375,False,6
3,6,3,2,6,8,0.25,True,6
4,6,3,0,6,6,0,True,6
4,6,3,0,6,6,0,True,6
6,6,3,6,3,9,0.6666667,False,4
7,6,3,4,5,9,0.44444445,False,6
8,6,3,0,2,2,0,True,2
0,6,3,3,5,8,0.375,False,6
1,6,3,5,4,9,0.5555556,False,5
2,6,3,4,5,9,0.44444445,False,6
3,6,3,4,4,8,0.5,False,5
4,6,3,1,4,5,0.2,False,5
5,6,3,3,6,9,0.33333334,True,6
6,6,3,4,4,8,0.5,False,5
7,6,3,3,4,7,0.42857143,False,5
8,6,3,2,2,4,0.5,True,2
